accommodates;bathrooms;bedrooms;calculated_host_listings_count;guests_included;host_listings_count;latitude;longitude;minimum_nights;number_of_reviews;d_centre;instant_bookable_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;price_category
3;1;1;1;2;1;52,34897287;4,861474702;1;2;4,231839788;0;1;0;0;Low
2;1;1;1;1;1;52,37213847;4,868157248;2;4;2,261652302;0;0;1;0;Low
4;1;2;1;1;1;52,36457585;4,877352678;5;9;2,209246835;0;1;0;0;Mid-High
2;1;1;1;1;1;52,39610181;4,904657738;2;1;1,912576298;0;1;0;0;Low
2;3;1;1;1;1;52,41038784;4,903457694;3;1;3,477710757;0;0;1;0;Low
3;1,5;1;1;2;1;52,36094029;4,870095749;2;1;2,841449549;0;1;0;0;Low
4;1;2;1;1;2;52,36813644;4,921431357;6;3;1,932945016;0;1;0;0;Mid-High
2;1;1;1;1;1;52,34468176;4,906940832;5;3;3,868337829;0;1;0;0;Low
2;1;1;1;1;1;52,38538268;4,889005154;1;5;0,986825957;0;1;0;0;Highest
1;1;1;2;2;2;52,3659995;4,863530499;3;105;2,842646758;1;0;1;0;Low
2;1;1;1;1;1;52,35881068;4,922925891;1;0;2,769369333;0;0;1;0;Low
2;1;1;2;1;2;52,29736806;4,968004914;2;38;10,21514381;1;0;1;0;Low
2;0,5;1;1;2;2;52,36099084;4,906988802;1;3;2,08627251;0;0;1;0;Low
2;1;1;1;2;1;52,36699885;4,911713143;2;211;1,590396396;0;0;1;0;Low
2;1;1;1;1;1;52,38503848;4,875101112;2;12;1,773697797;0;1;0;0;Low
2;1;0;1;1;1;52,33951148;4,917935468;5;5;4,584518827;0;1;0;0;Low
2;1;1;1;1;1;52,40366362;4,945924942;2;5;4,163954583;1;0;1;0;Low
2;1,5;1;2;1;2;52,35350894;4,828323151;2;9;5,605699111;0;0;1;0;Low
2;1;1;2;1;2;52,39640724;4,917882219;1;3;2,286259149;0;0;1;0;Low
6;2;4;1;6;1;52,37108131;4,932362609;2;14;2,408932206;0;1;0;0;Highest
16;2;9;1;16;1;52,35307345;5,006480497;2;29;7,822068029;1;1;0;0;Highest
2;1;1;1;1;1;52,36395126;4,932903802;3;5;2,832788245;0;1;0;0;Low
2;1;2;1;2;1;52,36682651;4,853894031;28;1;3,381081569;0;1;0;0;Low
4;1;2;91;1;103;52,37454382;4,939474284;2;0;2,765066297;1;1;0;0;Highest
2;1,5;1;4;2;5;52,35587762;4,851454184;2;7;4,160266159;1;0;1;0;Low
2;1;1;1;1;1;52,35873258;4,857758734;2;2;3,627963159;0;0;1;0;Low
2;1;1;1;1;1;52,35531901;4,895625948;4;1;2,665091016;1;1;0;0;Low
2;1;1;1;1;1;52,36391069;4,933385398;2;8;2,861723319;0;1;0;0;Low
2;1;1;1;1;1;52,3796266;4,852791613;2;1;3,16411397;0;1;0;0;Low
2;1;1;1;1;1;52,35119348;4,799499811;1;187;7,460513881;0;0;1;0;Low
2;1;1;1;1;1;52,40266644;4,925218321;2;111;3,140835161;0;0;1;0;Low
2;1;1;2;1;2;52,35599417;4,803886821;3;0;6,976493173;0;1;0;0;Low
2;1;1;1;1;1;52,37179368;4,865901408;3;7;2,418553571;0;1;0;0;Low
1;1;1;1;1;1;52,3552296;4,888737099;3;82;2,759596565;0;1;0;0;Low
4;1;3;1;1;1;52,38371887;4,880554148;4;10;1,375829576;0;1;0;0;Highest
2;1,5;1;1;1;1;52,37534354;4,892530372;2;57;0,633833609;0;0;1;0;Low
4;1;2;1;1;1;52,38475125;5,01355728;3;9;7,765839657;0;1;0;0;Low
2;1;2;1;1;1;52,3591568;4,92690237;1;3;2,903387377;0;1;0;0;Low
2;1;1;1;1;1;52,34756957;4,867616098;2;16;4,123967066;0;0;1;0;Low
4;1,5;1;1;2;1;52,35306994;4,796649972;3;6;7,554020208;0;0;1;0;Low
1;0;1;2;1;2;52,34538875;4,817839169;1;16;6,690642422;0;0;0;1;Low
2;1;1;28;1;28;52,3667406;4,873738507;2;8;2,225294275;1;1;0;0;Low
